id,structure,informativity,on-topic,correctness
3913,0,3,4,4
4052,0,4,4,4
3596,0,4,4,4
4234,4,4,4,4
72,4,2,4,4
4311,0,3,4,4
3743,-,,,
3451,-,,,
3821,0,4,4,4
4625,0,4,4,2
3306,0,2,4,4
1150,0,2,4,0
2924,-,,,
762,0,4,4,4
2839,-,,,
3535,0,2,4,4
2326,4,4,4,0
4513,0,4,4,4
3619,4,4,4,4
1744,0,4,4,4
2734,0,4,4,4
4330,0,4,4,4
1537,0,4,4,4
2679,0,4,4,4
2400,0,3,4,4
961,0,4,4,4
716,0,1,2,4
3318,-,,,
2218,4,4,4,4
2485,4,4,4,4
4496,0,3,4,4
4494,4,4,4,4
3864,0,4,4,4
1954,0,4,4,4
4007,4,4,4,4
2334,4,4,4,4
3159,0,4,4,4
3461,-,,,
3351,0,3,4,4
2276,0,4,4,4
554,0,2,4,4
3021,0,3,4,4
290,4,4,4,4
3724,0,3,4,4
3630,0,2,4,4
4169,0,4,4,4
2426,0,4,4,4
903,0,4,4,4
3049,0,4,4,4
2560,,,,
1011,,,,
272,,,,
1691,,,,
1447,,,,
4388,,,,
3376,,,,
83,,,,
2576,,,,
372,,,,
3031,,,,
2997,,,,
4503,,,,
3491,,,,
4070,,,,
3879,,,,
3226,,,,
127,,,,
3395,,,,
1048,,,,
1779,,,,
4069,,,,
1531,,,,
3929,,,,
859,,,,
3183,,,,
3015,,,,
4673,,,,
3988,,,,
2550,,,,
3565,,,,
1612,,,,
1207,,,,
4105,,,,
4080,,,,
4645,,,,
2582,,,,
55,,,,
3264,,,,
3703,,,,
4086,,,,
265,,,,
1240,,,,
2584,,,,
4530,,,,
3034,,,,
2459,,,,
2420,,,,
755,,,,
1993,,,,
663,,,,
423,,,,
2150,,,,
4088,,,,
1151,,,,
359,,,,
2074,,,,
2935,,,,
4556,,,,
4601,,,,
1595,,,,
2116,,,,
1638,,,,
4266,,,,
3517,,,,
3217,,,,
1300,,,,
384,,,,
894,,,,
2595,,,,
3904,,,,
4059,,,,
2044,,,,
3235,,,,
3219,,,,
3487,,,,
700,,,,
458,,,,
4060,,,,
3934,,,,
3932,,,,
855,,,,
930,,,,
1008,,,,
1013,,,,
1137,,,,
3449,,,,
2835,,,,
438,,,,
2513,,,,
3548,,,,
1243,,,,
1826,,,,
2567,,,,
915,,,,
1448,,,,
3781,,,,
4524,,,,
4020,,,,
4093,,,,
1686,,,,
3061,,,,
4227,,,,
4401,,,,
592,,,,
4185,,,,
2897,,,,
774,,,,
2004,,,,
799,,,,
1092,,,,
2347,,,,
2978,,,,
875,,,,
4156,,,,
3739,,,,
2760,,,,
3477,,,,
1109,,,,
2171,,,,
2429,,,,
2533,,,,
3023,,,,
640,,,,
3911,,,,
385,,,,
2649,,,,
3211,,,,
408,,,,
1502,,,,
2797,,,,
4160,,,,
4077,,,,
1597,,,,
596,,,,
4356,,,,
4546,,,,
4100,,,,
3508,,,,
1655,,,,
814,,,,
3079,,,,
2893,,,,
658,,,,
1175,,,,
1821,,,,
3869,,,,
1706,,,,
3614,,,,
876,,,,
1701,,,,
2772,,,,
929,,,,
2496,,,,
400,,,,
4417,,,,
4457,,,,
1359,,,,
3632,,,,
332,,,,
2517,,,,
2205,,,,
3,,,,
3342,,,,
2394,,,,
4665,,,,
4308,,,,
1568,,,,
523,,,,
2156,,,,
1525,,,,
1754,,,,
4022,,,,
2970,,,,
2465,,,,
1191,,,,
676,,,,
3720,,,,
2475,,,,
4015,,,,
2782,,,,
2122,,,,
3244,,,,
2143,,,,
1472,,,,
3042,,,,
1390,,,,
2101,,,,
3417,,,,
1653,,,,
4540,,,,
87,,,,
2755,,,,
3772,,,,
260,,,,
2945,,,,
2393,,,,
1081,,,,
1091,,,,
4444,,,,
4377,,,,
794,,,,
114,,,,
3839,,,,
1856,,,,
269,,,,
4012,,,,
3609,,,,
1590,,,,
1099,,,,
3536,,,,
812,,,,
1488,,,,
3372,,,,
1581,,,,
4500,,,,
1301,,,,
810,,,,
2201,,,,
670,,,,
1910,,,,
387,,,,
2590,,,,
1526,,,,
4593,,,,
1314,,,,
984,,,,
4651,,,,
297,,,,
1608,,,,
1056,,,,
4293,,,,
2314,,,,
357,,,,
2510,,,,
4209,,,,
53,,,,
1336,,,,
181,,,,
3501,,,,
136,,,,
1292,,,,
113,,,,
3393,,,,
3994,,,,
4226,,,,
4127,,,,
2546,,,,
2991,,,,
2702,,,,
3363,,,,
